Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train Precision,Val Precision,Train Recall,Val Recall,Train F1,Val F1
1,1.3740601921081543,1.3723974625269573,0.5177159764833555,0.3436307145215407,0.5177159764833555,0.3436307145215407,0.306875,0.3595,0.22909371720582727,0.2570084915244169
2,1.3316836047172547,1.3411375076051741,0.6233252271133742,0.6777012002813514,0.6233252271133742,0.6777012002813514,0.46125,0.4305,0.42715400491610245,0.36847259515763303
3,1.2623671531677245,1.2925309169860113,0.7108273694923307,0.7306602168671134,0.7108273694923307,0.7306602168671134,0.6115625,0.6465000000000001,0.5810941210777401,0.644200947457624
4,1.172101137638092,1.2193240532799372,0.7491450667009428,0.7504069583406401,0.7491450667009428,0.7504069583406401,0.6703125000000001,0.7224999999999999,0.6398718897708571,0.717532154627967
5,1.0611871349811555,1.1163658367262945,0.7642270551401755,0.7778584363457063,0.7642270551401755,0.7778584363457063,0.7093750000000001,0.7450000000000001,0.6802311227456947,0.7270615910347156
6,0.9420060849189759,1.0075667708639116,0.7886362643633693,0.8082368104817608,0.7886362643633693,0.8082368104817608,0.7565624999999999,0.7625000000000001,0.7398589746267621,0.7397859810361608
7,0.8216664081811905,0.9020077709167723,0.789344992831956,0.8065264319546209,0.789344992831956,0.8065264319546209,0.7696875,0.7489999999999999,0.7575700230661946,0.7157807754586248
8,0.7065063107013703,0.8014523888391162,0.8100115278303496,0.8380814653451366,0.8100115278303496,0.8380814653451366,0.7996875,0.758,0.7904755086692562,0.7115457259499759
9,0.6226952451467515,0.7271589244168902,0.8169641686611144,0.8448636360166746,0.8169641686611144,0.8448636360166746,0.8150000000000001,0.7424999999999999,0.810457378772085,0.6768789812203847
10,0.5613082093000412,0.6687816719687174,0.8146906944325759,0.851137502968429,0.8146906944325759,0.851137502968429,0.814375,0.749,0.8112753376440578,0.6855758902565239
11,0.5116391134262085,0.6041901641421847,0.8425869925392528,0.855748582403512,0.8425869925392528,0.855748582403512,0.8415625,0.7595,0.8389303745053848,0.7016085220701284
12,0.4778889584541321,0.5773709274473644,0.8400917346747254,0.857243653576288,0.8400917346747254,0.857243653576288,0.8421875,0.7575,0.8400451482232789,0.6909941606105472
13,0.44200255781412123,0.5439412224860418,0.8657242278658661,0.8662402373535121,0.8657242278658661,0.8662402373535121,0.866875,0.76,0.8656882867791773,0.6931222839217676
14,0.4060210397839546,0.5089429993005026,0.8819958871715432,0.8704264607711909,0.8819958871715432,0.8704264607711909,0.8821874999999999,0.7695,0.8813627660501924,0.7090780298829973
15,0.3814213651418686,0.490188429989512,0.8858850097840332,0.8775896476615157,0.8858850097840332,0.8775896476615157,0.8878124999999999,0.78,0.8866864700126249,0.7282004197166596
16,0.3491901484131813,0.4533421725980819,0.9139457562584332,0.8893965579823082,0.9139457562584332,0.8893965579823082,0.914375,0.815,0.9140803416864,0.7858426791863473
17,0.3129625798761845,0.41843920070973656,0.931276246789398,0.8970388020297368,0.931276246789398,0.8970388020297368,0.9309375,0.8390000000000001,0.9306444509194688,0.8203285254109087
18,0.2786360689997673,0.38602467933817514,0.9407713276785579,0.9090559027725998,0.9407713276785579,0.9090559027725998,0.94125,0.868,0.9409614653070035,0.8580495502012739
19,0.24930157616734505,0.3489161643480498,0.9503392117444485,0.9238011930707484,0.9503392117444485,0.9238011930707484,0.950625,0.9005,0.9504274396456829,0.8958295875984554
20,0.21450126871466638,0.3136888008623842,0.9591322840510945,0.9340361370342936,0.9591322840510945,0.9340361370342936,0.9590625,0.9184999999999999,0.958963629298127,0.915947676432027
21,0.1937991562485695,0.285185726152526,0.9569515706046571,0.9389431623618874,0.9569515706046571,0.9389431623618874,0.9571875,0.9259999999999999,0.957033363207167,0.9239185202527501
22,0.17285669259727002,0.25634350071823786,0.9640389701490126,0.948318937635884,0.9640389701490126,0.948318937635884,0.9640625,0.937,0.9639984049876849,0.9361868521106185
23,0.15543380931019782,0.24296442017195716,0.9675870121657084,0.9450544068543759,0.9675870121657084,0.9450544068543759,0.9674999999999999,0.9355,0.9674786267458414,0.9339686629583976
24,0.13548882100731136,0.23419464787557012,0.9708254891238909,0.9484744761552074,0.9708254891238909,0.9484744761552074,0.9709375,0.9375,0.9708630835191403,0.9365165115543389
25,0.1390250438451767,0.20661449317066444,0.9671079721655926,0.9548183873738564,0.9671079721655926,0.9548183873738564,0.9671875,0.9485000000000001,0.9671212017268165,0.9476521412080207
26,0.11764138158410788,0.21278646467105736,0.9743157478904466,0.9534010819653616,0.9743157478904466,0.9534010819653616,0.974375,0.9450000000000001,0.9743400614460633,0.9442773533379362
27,0.10530589070171117,0.19612690111592648,0.9759095366562776,0.9548025071691745,0.9759095366562776,0.9548025071691745,0.9759375,0.947,0.9758976558118311,0.9462875584480036
28,0.10247052287682891,0.19790060416100516,0.976498532065875,0.9527075922900294,0.976498532065875,0.9527075922900294,0.9765625,0.944,0.9765036509083409,0.9432405774728096
29,0.09531570518389344,0.15176316238348447,0.9798039755045791,0.9655643732689345,0.9798039755045791,0.9655643732689345,0.9796875,0.9620000000000001,0.9796836204166985,0.9617054864938371
30,0.09183345740661025,0.20118324443816193,0.9806352215451781,0.9515201489125465,0.9806352215451781,0.9515201489125465,0.980625,0.9415,0.9806123628010723,0.9406117239013523
31,0.09049986578524112,0.17986029229821668,0.9785609683581074,0.9546599854203033,0.9785609683581074,0.9546599854203033,0.9784375,0.9475,0.9784446287270838,0.9465033501992356
32,0.08692076494917274,0.15978521226890505,0.9793568291682753,0.9590985039010247,0.9793568291682753,0.9590985039010247,0.979375,0.953,0.9793439744695434,0.9523834666261295
33,0.0746075433678925,0.15977647739447773,0.9815475229682777,0.9584308694382454,0.9815475229682777,0.9584308694382454,0.9815625,0.952,0.9815444601313689,0.9513525668470132
34,0.06811244891956449,0.17456559218939335,0.9834631000468708,0.9523868861247233,0.9834631000468708,0.9523868861247233,0.9834375,0.943,0.9834243766452977,0.9421764901107942
35,0.07166871219873429,0.1661793337100082,0.977447926369064,0.9549489606797854,0.977447926369064,0.9549489606797854,0.9775,0.9464999999999999,0.9774684270276298,0.9458509507190136
36,0.06521253880113363,0.1288049617516143,0.9834196404156412,0.966063284309665,0.9834196404156412,0.966063284309665,0.9834375,0.9620000000000001,0.9834237578003692,0.9616008557461574
37,0.0671779447607696,0.16205689192764341,0.9802801851225711,0.9552988721741758,0.9802801851225711,0.9552988721741758,0.9803125,0.9470000000000001,0.980292315587697,0.9463077065550081
38,0.06378918880596757,0.15363670773212873,0.9834032822336564,0.9563460007678323,0.9834032822336564,0.9563460007678323,0.9834375000000001,0.9484999999999999,0.9834169338876583,0.9479170452484732
39,0.06999298657290637,0.13400957727479557,0.9781249130415265,0.9588490757405774,0.9781249130415265,0.9588490757405774,0.9781249999999999,0.9534999999999999,0.9781240017021651,0.9527911320260505
40,0.06288773622363805,0.12900596346321797,0.9809072516989932,0.9651794849213873,0.9809072516989932,0.9651794849213873,0.9809375,0.9610000000000001,0.980915289544054,0.9605480281430412
41,0.05523523634299636,0.12108374103194192,0.9847206938749054,0.9648973035664716,0.9847206938749054,0.9648973035664716,0.9846874999999999,0.9610000000000001,0.984681675916527,0.9604689558549937
42,0.054052786100655795,0.14259312025433968,0.9850095234793553,0.9590585117964922,0.9850095234793553,0.9590585117964922,0.9850000000000001,0.9535,0.9850022853320332,0.9527120281423545
43,0.05804776107892394,0.1356427535074689,0.9825850614478353,0.9614997097511659,0.9825850614478353,0.9614997097511659,0.9824999999999999,0.956,0.9825149575655181,0.955502763502881
44,0.05217185193672776,0.14077810888429956,0.985930849846048,0.9570881224561587,0.985930849846048,0.9570881224561587,0.9859374999999999,0.9510000000000001,0.9859175101083586,0.9501459987908796
45,0.05312022991012782,0.13430470662073246,0.9853181744104753,0.9611364304874077,0.9853181744104753,0.9611364304874077,0.9853125,0.9555,0.9853116735793868,0.9549410709113515
46,0.047696281988173723,0.12435696326521417,0.9862483070299173,0.9624889607932816,0.9862483070299173,0.9624889607932816,0.9862500000000001,0.9570000000000001,0.9862454806122428,0.9567344078213642
47,0.045552149759605524,0.14573822268063114,0.9890540807888873,0.9550641870427039,0.9890540807888873,0.9550641870427039,0.9890625,0.948,0.9890538554627527,0.9470760422677547
48,0.04243467238266021,0.15367133055059684,0.9884446924955528,0.9526417542564617,0.9884446924955528,0.9526417542564617,0.9884375,0.944,0.9884368523403197,0.9430273929469217
49,0.04320212096441537,0.13282469152990314,0.9869029839854278,0.9582116674810259,0.9869029839854278,0.9582116674810259,0.986875,0.9520000000000001,0.9868807294200519,0.9512339202011451
50,0.04087624831590801,0.11532487437158587,0.9860242701681845,0.9682247305728969,0.9860242701681845,0.9682247305728969,0.9859375,0.9645,0.9859460361051191,0.9642477221933825
