Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.09084876985405571,0.11601545254003241,97.4375,96.0
2,0.003909643493243493,0.4911490946279151,99.90625,78.95
3,0.0036129347344103736,1.113870063178385,99.9375,75.75
4,0.011997471739523462,1.1833024896297415,99.59375,80.3
5,0.010065209739404963,0.5326480272827371,99.6875,81.55
6,0.008532058876444353,1.0941791631692988,99.71875,75.05
7,0.0006851079051193665,1.408332489295451,100.0,75.05
8,0.0011298424077540404,0.5238256416873773,100.0,83.65
9,0.0007392389156848367,0.5960884596879767,100.0,81.6
10,0.0003895535061201372,1.0821709755210136,100.0,77.05
11,0.00025773977549761187,1.2384463673639179,100.0,76.35
12,0.0036068441402312603,0.9408833923015563,99.90625,80.9
13,0.0013115326873412415,0.782850554645651,99.96875,79.65
14,0.013509398642345332,3.3606003936447184,99.5,69.2
15,0.022183534674113617,1.3978487774115602,99.375,74.6
16,0.010045411975588649,1.1685379726097005,99.71875,76.0
17,0.005596330912558187,1.415972883050363,99.75,74.8
18,0.0010779627866759256,1.7567508044075335,99.96875,75.3
19,0.001007528014088166,1.9639018831840924,99.96875,74.9
20,0.0003720583788754084,1.7513670370401402,100.0,75.0
21,0.0006735236711620018,1.903435202431838,100.0,75.0
22,0.00017404271736040755,1.8779198456594903,100.0,74.9
23,7.404885641335568e-05,1.8457470464545245,100.0,75.0
24,0.0011649246698721071,4.624922652567626,99.96875,74.7
25,0.0007081233063445325,1.916532610108336,100.0,75.0
26,0.00015086852236890992,2.1002371158305904,100.0,74.9
27,0.0016310119722152195,0.8932139678808277,99.9375,76.3
28,0.004368525527479505,2.756229256834617,99.9375,74.25
29,0.008117073918847383,3.362884097509556,99.75,70.55
30,0.006000634745460047,2.15329745845499,99.875,75.1
31,0.0008201706319596269,2.1694413393231886,99.96875,75.1
32,0.0003850199813905419,2.359288936201539,100.0,75.05
33,0.0011145591908120877,2.3499950397138316,99.9375,75.3
34,0.004167759589486195,0.3303517111995625,99.875,89.15
35,0.005004793388307008,4.098112512734757,99.78125,74.5
36,0.0011507423882449075,2.1928936387200704,100.0,74.9
37,0.005634617313085073,2.148953994172066,99.84375,74.2
38,0.004194700608022686,2.354575819453421,99.875,74.7
39,0.00041769255309191065,2.233481724594119,100.0,74.9
40,0.0011044746090374247,2.5828366685676287,99.96875,74.85
41,0.0016856773857352892,1.9122748585450806,99.96875,75.1
42,0.0004697213134386402,1.5853233574519447,100.0,75.15
43,0.00011704253571224398,2.3805688821889746,100.0,75.0
44,6.363917640442196e-05,2.166630875900337,100.0,75.0
45,5.091268424394002e-05,2.162991811963819,100.0,75.0
46,0.00017187149124652022,2.131812275827388,100.0,75.05
47,6.478693218468834e-05,2.3587922643088484,100.0,75.0
48,0.0009522605334473155,2.6621308798339953,99.9375,74.9
49,0.002711428321194944,2.249795675955424,99.90625,74.8
50,0.0012957018208021509,2.462777172589671,99.90625,74.75
