Epoch,Train Loss,Train Accuracy,Validation Accuracy
1,0.11803027854271932,95.46875,75.65
2,0.021707383077882697,99.40625,82.8
3,0.03231760886468692,98.9375,74.25
4,0.040797132161533224,98.65625,79.05
5,0.01809835853178811,99.46875,78.15
6,0.0005433828786044615,100.0,75.55
7,0.024283480740050437,99.1875,87.2
8,0.013198922949086409,99.625,74.9
9,0.00595851856043737,99.84375,81.5
10,0.00027832184863655127,100.0,83.65
11,0.00010603107042697957,100.0,83.1
12,8.128684465191327e-05,100.0,82.7
13,6.667501100309891e-05,100.0,82.65
14,5.6354559073952257e-05,100.0,82.65
15,4.853059131164628e-05,100.0,82.6
16,4.2359580302218095e-05,100.0,82.6
17,3.734243678991334e-05,100.0,82.6
18,3.3184562726091825e-05,100.0,82.5
19,2.966184102660918e-05,100.0,82.5
20,2.664899120645714e-05,100.0,82.5
21,2.4039057398113072e-05,100.0,82.45
22,2.1764001535302667e-05,100.0,82.4
23,1.9764112907978413e-05,100.0,82.4
24,1.7992196858358512e-05,100.0,82.4
25,1.641931265567109e-05,100.0,82.4
26,1.5005190521151235e-05,100.0,82.4
27,1.3741823959207978e-05,100.0,82.5
28,1.2600194054357416e-05,100.0,82.45
29,1.1566147345547505e-05,100.0,82.45
30,1.0632418711793435e-05,100.0,82.4
31,9.784593039512402e-06,100.0,82.4
32,9.009408329347934e-06,100.0,82.4
33,8.307721629989829e-06,100.0,82.35
34,7.661651709440776e-06,100.0,82.4
35,7.074477505284449e-06,100.0,82.45
36,6.536476471410424e-06,100.0,82.45
37,6.039341146788502e-06,100.0,82.5
38,5.586684785612306e-06,100.0,82.5
39,5.166177097635227e-06,100.0,82.5
40,4.780835693054541e-06,100.0,82.5
41,4.428648999237339e-06,100.0,82.5
42,4.097323810583476e-06,100.0,82.6
43,3.7963964985010534e-06,100.0,82.7
44,3.517299124951023e-06,100.0,82.55
45,3.2566790002874768e-06,100.0,82.6
46,3.016212530155826e-06,100.0,82.55
47,2.791951000062909e-06,100.0,82.55
48,2.5884764147576787e-06,100.0,82.5
49,2.3971461024530072e-06,100.0,82.5
50,2.219226761326354e-06,100.0,82.5
51,2.051104914926327e-06,100.0,82.55
52,1.8975488694650266e-06,100.0,82.55
53,1.7555039170247256e-06,100.0,82.5
54,1.6234053993002816e-06,100.0,82.5
55,1.5006945659479243e-06,100.0,82.5
56,1.3889360528196448e-06,100.0,82.55
57,1.2768422413955705e-06,100.0,82.5
58,1.1723480253067464e-06,100.0,82.5
59,1.082568666390671e-06,100.0,82.5
60,9.971478635861786e-07,100.0,82.45
61,9.145210159999806e-07,100.0,82.35
62,8.352469194505829e-07,100.0,82.3
63,7.717680560404005e-07,100.0,82.3
64,7.124242449663143e-07,100.0,82.3
65,6.573645134722028e-07,100.0,82.25
66,6.087122686437851e-07,100.0,82.25
67,5.572287942356979e-07,100.0,82.25
68,5.054472835297475e-07,100.0,82.2
69,4.6383581292275267e-07,100.0,82.1
70,4.256516044165437e-07,100.0,82.1
71,3.836675962531899e-07,100.0,82.1
72,3.4488733348325694e-07,100.0,82.05
73,3.126635775174691e-07,100.0,82.05
74,2.890079893091979e-07,100.0,82.05
75,2.7328726659447966e-07,100.0,82.0
76,2.533569677609648e-07,100.0,81.95
77,2.2973863217146118e-07,100.0,81.9
78,2.0354984499704188e-07,100.0,81.9
79,1.8153338100290738e-07,100.0,81.85
80,1.558288788316986e-07,100.0,81.8
81,1.3213603498485326e-07,100.0,81.8
82,1.1619179458577378e-07,100.0,81.8
83,1.0158865830334207e-07,100.0,81.8
84,8.75070616146445e-08,100.0,81.75
85,7.864087164577427e-08,100.0,81.7
86,7.469206401822248e-08,100.0,81.75
87,7.249414301746527e-08,100.0,81.75
88,6.470828708415866e-08,100.0,81.75
89,5.2712853435554764e-08,100.0,81.75
90,3.9488074046190036e-08,100.0,81.75
91,3.311782819315212e-08,100.0,81.8
92,2.9169020783204046e-08,100.0,81.85
93,2.6375053305827122e-08,100.0,82.0
94,2.4437902501617258e-08,100.0,82.0
95,2.3506580053567206e-08,100.0,82.05
96,2.2798774930166133e-08,100.0,82.05
97,2.1867452426604926e-08,100.0,81.95
98,2.1606682205632667e-08,100.0,81.9
99,2.089887706668847e-08,100.0,81.9
100,2.052634804128317e-08,100.0,81.7
